id,text,source,created_at
8.23E+17,#WomensMarch Can someone send me a pussy-hat ? ðŸ˜‹ðŸ¤£ðŸ˜â˜ºï¸,Twitter for iPhone,21-01-17 23:59
8.23E+17,"ðŸŒ¸o melhor protesto da histÃ³ria que voce admira, aplaude e respeitaðŸŒ¸ #WomensMarch https://t.co/E9CLDlw2UW",Twitter for iPhone,21-01-17 23:59
8.23E+17,I thank God that we have each other! #WomensMarch #WomensMarchLA https://t.co/kHAFzwsFhG,Twitter for iPhone,21-01-17 23:59
8.23E+17,#WomensMarch https://t.co/otODcBgLUO,Twitter for iPhone,21-01-17 23:59
8.23E+17,"39) ""la agenda gay"" louder and proud #WomensMarch https://t.co/YVs4mpuo21",Twitter for Android,21-01-17 23:59
8.23E+17,#WomensMarch #imwithher https://t.co/wDspd2eN3p,Twitter for Android,21-01-17 23:59
8.23E+17,Incredible world wide protest. unreal #Womensmarch,Twitter for iPad,21-01-17 23:59
8.23E+17,"""MY BODY,MY CHOICE""
""HER BODY,HER CHOICE"" #WomensMarch",Twitter for iPhone,21-01-17 23:59
8.23E+17,"Reppin' for all the badass babes out there in the world.
ðŸ¤œðŸ¼âš¡ï¸ðŸ¤›ðŸ¾
#womensmarch #womxnsmarchseattleâ€¦ https://t.co/ed4M4b1hn6",Instagram,21-01-17 23:59
8.23E+17,#WomensMarch https://t.co/EB6bZ9zEl3,Twitter Web Client,21-01-17 23:59
8.23E+17,Inspirational day today. #womensmarch https://t.co/LbYiFj0SsF,Twitter for iPhone,21-01-17 23:59
8.23E+17,"â’ˆ #cepostaperte
â’‰ #MilanNapoli
â’Š #WomensMarch
â’‹ #Cavallidibattaglia
â’Œ #SonoInnocente

2017/1/22 00:53 CET #trndnl https://t.co/1z2nx2qb8e",Tendenze Italia,21-01-17 23:59
8.23E+17,"But mostly 4 my trans son's future rights. He's worried about the future, and I want to prove every day that I've got his back. #womensmarch",Twitter for Android,21-01-17 23:59
8.23E+17,"ðŸ’—âœŠï¸ womensmarch #womensmarch   
-
#Repost @eileenzfuentes
ãƒ»ãƒ»ãƒ»
Health is a human right âœŠðŸ¾âœŠðŸ½âœŠðŸ¿âœŠðŸ¼âœŠðŸ»â€¦ https://t.co/mHRkBPPJOn",Instagram,21-01-17 23:59
8.23E+17,#WomensMarch https://t.co/TqWOcGi9ww,Twitter for iPhone,21-01-17 23:59
8.23E+17,#feminism #amerikkka #makeamericawhiteagain #ignorance #Trump #WomensMarch https://t.co/D9ZEgR89qO,Tweetbot for iÎŸS,21-01-17 23:59
8.23E+17,"I don't see one woman holding a sign that says we want to be legally required to sign up for the draft at 18 as well. 

#WomensMarch",Twitter for Android,21-01-17 23:59
8.23E+17,"Got called in to work earlier, but home now eating biscuits catching up on the awesome #WomensMarch pictures ðŸ’–",Twitter for iPhone,21-01-17 23:59
8.23E+17,#WomensMarch... x. #talaraassi  https://t.co/XEq7nVvnlo,Twitter Web Client,21-01-17 23:59
8.23E+17,"â’ˆ #WomensMarch
â’‰ Juan Pablo Montoya
â’Š #SUPERLIGAAGUILAxWIN
â’‹ Atanasio Girardot
â’Œ MilÃ¡n

2017/1/21 18:58 COT #trndnl https://t.co/cSmLh2Ssg4",Es Tendencia en Colombia,21-01-17 23:59
8.23E+17,YES.. and are henceforth known as the #WOLF (War On Literal Facts) White House. #Facts #WomensMarch #newsâ€¦ https://t.co/jiATavnnBZ,Twitter Web Client,21-01-17 23:59
8.23E+17,Have no idea what to expect but the #WomensMarch in Manhattan should be unbelievably moving. A bright beacon during dark days.,Twitter for iPhone,21-01-17 23:59
8.23E+17,This is what democracy looks like for all of you at #WomensMarch https://t.co/EdSGnriINj,Twitter for iPhone,21-01-17 23:59
8.23E+17,ðŸ‘ðŸ‘ðŸ‘#classic ðŸ˜‚ #womensmarch #dc #la #chicago #equality âœŠðŸ½ https://t.co/vdEH8X8ok0,Instagram,21-01-17 23:59
8.23E+17,If U don't fight ALL kinds of #HumanTrafficking #Abortion &amp  #Abuse then u are helping the enemy https://t.co/zOEUINkiZr #WomensMarch,Twitter Web Client,21-01-17 23:59
8.23E+17,America just showed #donaldtrump he LOST the popular vote! #WomensMarch More people marched against him than attended his inauguration,Twitter Web Client,21-01-17 23:59
8.23E+17,"Last of #WomensMarch participants in Seattle have just arrived at Seattle Center.

Real-time updates:â€¦ https://t.co/gyASEresGZ",TweetDeck,21-01-17 23:59
8.23E+17,"Updates on the #Womensmarch in Washington, New York and other cities https://t.co/QnobE3atFn by @RobertMackey",Twitter Web Client,21-01-17 23:59
8.23E+17,#WomensMarch que lindo isso de lutar pelo que se acredita â¤,Twitter for Android,21-01-17 23:59
8.23E+17,These are amazing #WomensMarch https://t.co/U28M5XpqWV,Twitter for Android,21-01-17 23:59
8.23E+17,#WomensMarch https://t.co/t1JMZ9346f,Twitter for iPhone,21-01-17 23:59
8.23E+17,why you didn't went to the #womensmarch? â˜¹ï¸ @haileybaldwin,Mobile Web (M5),21-01-17 23:59
8.23E+17,#WomensMarch https://t.co/3yfSLM8OL2,Twitter for iPhone,21-01-17 23:59
8.23E+17,#WomensMarch #WomensMarchLA https://t.co/dYfPkJU2TW,Twitter for iPhone,21-01-17 23:59
8.23E+17,Carrie Fisher's Princess Leia inspires at Women's Marches around the world: https://t.co/zq0zD3mpGp #WomensMarch... by #EW via @c0nvey,Put your button on any page! ,21-01-17 23:59
8.23E+17,The mobilisation for #WomensMarch simply astonishing. Now this does lift ones spirits! https://t.co/2cAfgSO0Ig,Twitter Web Client,21-01-17 23:59
